row.number,subject,trial,color,FID,AD
1406,10,62,1,0,71
1407,10,63,2,48,41
1408,10,64,3,69,20
1409,10,65,4,48,69
1410,10,66,4,8,44
1411,10,67,4,43,28
1412,10,68,4,44,33
1413,10,69,1,42,63
1414,10,70,3,74,22
1415,10,71,2,55,39
1416,10,72,1,43,57
1417,10,73,3,61,15
1418,10,74,1,49,63
1419,10,75,2,54,33
1420,10,76,1,38,52
1421,10,77,2,52,42
1422,10,78,3,69,9
1423,10,79,2,45,30
1424,10,80,3,56,9
1425,10,81,1,38,52
1426,10,82,1,55,69
1427,10,83,3,53,15
1428,10,84,2,61,33
1429,10,85,2,47,39
1430,10,86,3,71,15
1431,10,87,1,19,63
1432,10,88,2,50,39
1433,10,89,4,51,15
1434,10,90,4,43,57
1435,10,91,4,0,57
1436,10,92,4,58,22
1437,10,93,2,58,39
1438,10,94,2,61,39
1439,10,95,1,12,63
1440,10,96,3,60,22
1441,11,49,4,5,35
1442,11,50,4,47,65
1443,11,51,4,28,7
1444,11,52,4,31,42
1445,11,53,1,69,69
1446,11,54,3,35,14
1447,11,55,2,55,46
1448,11,56,1,74,65
1449,11,57,2,57,41
1450,11,58,3,18,28
1451,11,59,1,75,65
1452,11,60,3,34,14
1453,11,61,3,44,20
1454,11,62,1,68,71
1455,11,63,2,60,41
1456,11,64,3,37,20
1457,11,65,4,62,69
1458,11,66,4,53,44
1459,11,67,4,0,28
1460,11,68,4,58,33
1461,11,69,1,75,63
1462,11,70,3,39,22
1463,11,71,2,49,39
1464,11,72,1,72,57
1465,11,73,3,30,15
1466,11,74,1,65,63
1467,11,75,2,52,33
1468,11,76,1,71,52
1469,11,77,2,55,42
1470,11,78,3,28,9
1471,11,79,2,50,30
1472,11,80,3,39,9
1473,11,81,1,69,52
1474,11,82,1,53,69
1475,11,83,3,22,15
1476,11,84,2,57,33
1477,11,85,2,48,39
1478,11,86,3,30,15
1479,11,87,1,65,63
1480,11,88,2,54,39
1481,11,89,4,20,15
1482,11,90,4,69,57
1483,11,91,4,71,57
1484,11,92,4,19,22
1485,11,93,2,60,39
1486,11,94,2,63,39
1487,11,95,1,74,63
1488,11,96,3,39,22
1489,12,49,4,51,35
1490,12,50,4,54,65
1491,12,51,4,31,7
1492,12,52,4,46,42
1493,12,53,1,63,69
1494,12,54,3,32,14
1495,12,55,2,30,46
1496,12,56,1,65,65
1497,12,57,2,58,41
1498,12,58,3,37,28
1499,12,59,1,42,65
1500,12,60,3,39,14
1501,12,61,3,39,20
1502,12,62,1,66,71
1503,12,63,2,60,41
1504,12,64,3,37,20
1505,12,65,4,54,69
1506,12,66,4,57,44
1507,12,67,4,9,28
1508,12,68,4,56,33
1509,12,69,1,71,63
1510,12,70,3,42,22
1511,12,71,2,53,39
1512,12,72,1,67,57
1513,12,73,3,28,15
1514,12,74,1,23,63
1515,12,75,2,59,33
1516,12,76,1,63,52
1517,12,77,2,53,42
1518,12,78,3,35,9
1519,12,79,2,65,30
1520,12,80,3,34,9
1521,12,81,1,70,52
1522,12,82,1,57,69
1523,12,83,3,20,15
1524,12,84,2,60,33
1525,12,85,2,35,39
1526,12,86,3,68,15
1527,12,87,1,53,63
1528,12,88,2,59,39
1529,12,89,4,31,15
1530,12,90,4,58,57
1531,12,91,4,67,57
1532,12,92,4,13,22
1533,12,93,2,60,39
1534,12,94,2,63,39
1535,12,95,1,67,63
1536,12,96,3,39,22
1537,13,49,4,42,35
1538,13,50,4,49,65
1539,13,51,4,53,7
1540,13,52,4,32,42
1541,13,53,1,73,69
1542,13,54,3,51,14
1543,13,55,2,52,46
1544,13,56,1,74,65
1545,13,57,2,44,41
